Code,Scientific,Common
ANHU,Calypte anna,Anna's Hummingbird
ALHU,Selasphorus sasin,Allen's Hummingbird
BCHU,Archilochus alexandri,Black-chinned Hummingbird
BTMG,Lampornis clemenciae,Blue-throated Mountain Gem
BBLH,Cynanthus latirostris,Broad-billed Hummingbird
BTLH,Selasphorus platycercus,Broad-tailed Hummingbird
CAHU,Selasphorus calliope,Calliope Hummingbird
COHU,Calypte costae,Costa's Hummingbird
LUHU,Calothorax lucifer,Lucifer's Hummingbird
RIHU,Eugenes fulgens,Rivoli's Hummingbird
RUHU,Selasphorus rufus,Rufous Hummingbird
UNHU,Unknown,Unknown Hummingbird
VCHU,Amazilia violiceps,Violet-crowned Hummingbird
BEHU,Saucerottia beryllina,Berylline Hummingbird
WEHU,Basilinna leucotis,White-eared hummingbird
HYHU,Unknown,Unknown Hummingbird
